2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'apr', 'my'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'apr', 'my'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'bd', 'dsj'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'bd', 'dsj'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'jfj', 'vso'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'jfj', 'vso'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'gju', 'j'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'gju', 'j'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'azp', 'eeg'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'azp', 'eeg'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'he', 'pl'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'he', 'pl'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'amw', 'hnv'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'amw', 'hnv'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'eza', 'r'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'eza', 'r'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'm', 'qls'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'm', 'qls'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'gf', 'nkx'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'gf', 'nkx'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'ab', 'ghf'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'ab', 'ghf'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'e', 'kg'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'e', 'kg'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'f', 'pd'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'f', 'pd'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'e', 'foa'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'e', 'foa'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'f', 'qd'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'f', 'qd'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'bg', 'g'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'bg', 'g'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'bl', 'fq'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'bl', 'fq'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'foz', 'v'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'foz', 'v'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'gk', 'lp'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'gk', 'lp'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'caf', 'ib'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'caf', 'ib'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'd', 'u'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'd', 'u'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'k', 'pa'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'k', 'pa'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'i', 'o'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'i', 'o'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'n', 'otu'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'n', 'otu'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'fa', 'ff'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'fa', 'ff'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 2, 'i', 'qrd'
2, 3, 6, 1, 2, 7, 'anlp', 'rhcp', 3, 1, 'i', 'qrd'
